date,T,Po,P,U,Ff,N,Tn,Tx,H,VV,Td,RRR,sss
2017-01-12 01:00:00,-18.7,722.5,764.5,79.0,1,"90  или более, но не 100%",,,"2500 или более, или облаков нет.",10.0,-21.5,,
2017-01-12 07:00:00,-12.7,722.4,763.5,85.0,0,100%.,-19.7,,"2500 или более, или облаков нет.",10.0,-14.7,Осадков нет,125.0
2017-01-12 13:00:00,-9.4,726.1,766.9,88.0,0,100%.,,,600-1000,4.0,-11.0,,
2017-01-12 19:00:00,-7.0,728.5,769.0,89.0,1,100%.,,-6.4,300-600,4.0,-8.5,1,
2017-01-13 01:00:00,-10.4,730.4,771.6,86.0,0,"90  или более, но не 100%",,,600-1000,4.0,-12.3,,
2017-01-13 07:00:00,-14.2,730.4,772.2,84.0,0,"90  или более, но не 100%",-15.2,,600-1000,10.0,-16.3,1,120.0
2017-01-13 13:00:00,-14.8,731.1,772.6,80.0,0,60%.,,,600-1000,10.0,-17.5,,
2017-01-13 19:00:00,-15.6,732.6,774.7,83.0,0,70 – 80%.,,,600-1000,4.0,-17.9,"0,3",
2017-01-14 01:00:00,-20.0,733.9,776.9,79.0,0,60%.,,,600-1000,10.0,-22.8,,
2017-01-14 07:00:00,-19.0,734.5,777.4,79.0,0,"90  или более, но не 100%",-20.8,,600-1000,4.0,-21.8,"0,9",117.0
2017-01-14 13:00:00,-14.4,734.4,776.4,78.0,0,"90  или более, но не 100%",,,600-1000,4.0,-17.4,,
2017-01-14 19:00:00,-12.8,733.6,775.3,84.0,0,100%.,,-11.4,600-1000,4.0,-15.0,"0,4",
2017-01-15 01:00:00,-11.7,733.1,774.7,85.0,0,"90  или более, но не 100%",,,600-1000,4.0,-13.8,,
2017-01-15 07:00:00,-11.2,733.4,774.9,85.0,0,100%.,-12.8,,200-300,4.0,-13.2,2,119.0
2017-01-15 13:00:00,-8.8,735.3,776.5,81.0,3,100%.,,,300-600,2.0,-11.5,,
2017-01-15 19:00:00,-10.8,738.4,780.1,81.0,1,"90  или более, но не 100%",,-8.7,600-1000,4.0,-13.4,2,
2017-01-16 01:00:00,-13.3,738.6,780.7,82.0,0,100%.,,,300-600,4.0,-15.7,,
2017-01-16 07:00:00,-14.2,737.8,780.0,83.0,0,"90  или более, но не 100%",-15.6,,600-1000,4.0,-16.5,2,119.0
2017-01-16 13:00:00,-12.4,737.2,778.6,80.0,0,100%.,,,300-600,2.0,-15.1,,
2017-01-16 19:00:00,-11.8,737.2,779.0,85.0,0,100%.,,-9.2,300-600,2.0,-13.9,2,
2017-01-17 01:00:00,-12.7,736.6,778.6,84.0,0,"90  или более, но не 100%",,,600-1000,4.0,-14.9,,
2017-01-17 07:00:00,-12.7,737.2,779.1,84.0,0,100%.,-13.4,,300-600,2.0,-14.9,2,119.0
2017-01-17 13:00:00,-12.8,738.2,779.8,75.0,2,"90  или более, но не 100%",,,600-1000,4.0,-16.3,,
2017-01-17 19:00:00,-20.9,740.4,783.9,76.0,1,Облаков нет.,,-10.2,,10.0,-24.0,"0,5",
2017-01-18 01:00:00,-25.4,740.4,784.7,72.0,0,Облаков нет.,,,,10.0,-29.0,,
2017-01-18 07:00:00,-21.6,739.8,783.4,75.0,0,"90  или более, но не 100%",-26.5,,"2500 или более, или облаков нет.",10.0,-24.8,Осадков нет,115.0
2017-01-18 13:00:00,-14.8,739.0,781.3,79.0,0,50%.,,,"2500 или более, или облаков нет.",10.0,-17.6,,
2017-01-18 19:00:00,-17.0,738.1,780.9,84.0,0,40%.,,-10.2,"2500 или более, или облаков нет.",10.0,-19.1,Осадков нет,
2017-01-19 01:00:00,-22.1,738.0,781.6,76.0,0,Облаков нет.,,,,10.0,-25.2,,
2017-01-19 07:00:00,-23.3,738.4,782.2,73.0,0,70 – 80%.,-23.3,,"2500 или более, или облаков нет.",10.0,-26.8,Осадков нет,109.0
2017-01-19 13:00:00,-15.8,737.7,780.2,82.0,0,20–30%.,,,"2500 или более, или облаков нет.",10.0,-18.2,,
2017-01-20 01:00:00,-24.0,736.8,780.6,73.0,0,Облаков нет.,,,,4.0,-27.5,,
2017-01-20 07:00:00,-26.3,735.8,780.4,69.0,0,Облаков нет.,-26.5,,,10.0,-30.3,Осадков нет,107.0
2017-01-20 13:00:00,-20.1,734.6,776.8,80.0,0,60%.,,,"2500 или более, или облаков нет.",10.0,-22.7,,
2017-01-20 19:00:00,-17.4,734.2,776.7,79.0,0,40%.,,-13.9,"2500 или более, или облаков нет.",10.0,-20.2,Осадков нет,
2017-01-21 01:00:00,-21.7,732.6,775.2,80.0,1,60%.,,,"2500 или более, или облаков нет.",10.0,-24.2,,
2017-01-21 07:00:00,-18.1,730.8,773.3,80.0,0,20–30%.,-20.4,,"2500 или более, или облаков нет.",10.0,-20.8,Осадков нет,107.0
2017-01-21 13:00:00,-13.4,728.8,770.0,85.0,0,100%.,,,600-1000,50.0,-15.4,,
2017-01-21 19:00:00,-9.6,726.1,766.9,84.0,0,100%.,,-7.4,"2500 или более, или облаков нет.",50.0,-11.9,Осадков нет,
2017-01-22 01:00:00,-7.4,726.7,767.1,85.0,1,100%.,,,600-1000,50.0,-9.5,,
2017-01-22 07:00:00,-5.4,729.6,769.9,91.0,0,100%.,-10.7,,300-600,4.0,-6.7,"0,8",108.0
2017-01-22 13:00:00,-5.4,729.1,769.0,88.0,0,"90  или более, но не 100%",,,"2500 или более, или облаков нет.",10.0,-7.1,,
2017-01-22 19:00:00,-8.5,728.4,769.1,89.0,0,50%.,,-0.3,"2500 или более, или облаков нет.",10.0,-10.0,Следы осадков,
2017-01-23 01:00:00,-10.5,727.5,768.5,87.0,0,60%.,,,"2500 или более, или облаков нет.",4.0,-12.2,,
2017-01-23 07:00:00,-17.7,726.2,768.0,85.0,1,20–30%.,-16.4,,"2500 или более, или облаков нет.",10.0,-19.6,Осадков нет,108.0
2017-01-23 13:00:00,-7.1,724.0,764.3,89.0,0,70 – 80%.,,,600-1000,50.0,-8.7,,
2017-01-24 01:00:00,-2.0,721.6,760.9,94.0,1,100%.,,,300-600,2.0,-2.9,,
2017-01-24 07:00:00,-5.4,727.4,767.6,85.0,4,100%.,-9.1,,300-600,4.0,-7.6,3,114.0
